Id,Source,DateBegin,DateEnd,Latitude,Longitude,Shortname,Title,City,Zip
D977AFF22DA8463095BEB4E58C593CB3_REDUCED,lts,2023-06-23T00:00:00,2023-06-25T00:00:00,46.669,11.161,17. Internationales Citroën-Treffen,17° Raduno internazionale Citroën Classic Merano,Merano,39012
CF5783A3C8BB4CA082CE582DDB509D7B_REDUCED,lts,2016-05-01T00:00:00,2016-05-01T00:00:00,46.7755,11.6816,17. Königliches Festival - Fest der Königinnen und Prinzessinnen,17° Festival Reale - Festa delle regine e principesse,Naz-Sciaves,39040
E16F3A19FD2141C6869F96BC36E97E0C_REDUCED,lts,2022-03-06T00:00:00,2022-03-12T00:00:00,46.5554,11.7553,17. Plastische Assistentenwoche,17° settimana degli assistenti di plastica,Selva,39048
1CA91191F53D4E449EC519365D4134E9_REDUCED,lts,2023-03-09T00:00:00,2023-04-29T00:00:00,46.650503,11.004883,18. Rieslingtage Naturns 2023,18. giornate del Riesling Naturno 2023,Naturno,39025
CF8CC02DDD134E92BC7E5B71367B4836_REDUCED,lts,2023-04-22T00:00:00,2023-04-22T00:00:00,46.5614,11.2614,1. Finnentest,,Meltina,
FA4563467A3E4026A6EAC8CCFBAC375F_REDUCED,lts,2022-05-01T00:00:00,2022-05-01T00:00:00,46.7684,12.1787,1. Gaudi - Kegeln,1° evento di bowling,Valle di Casies,39030
0BBFE08084A24852943E9C9DF8B16384_REDUCED,lts,2023-03-26T00:00:00,2023-03-26T00:00:00,46.3403,11.2398,1. Kaltererseelauf - der Lauf um den Kalterer See in einem neuen Rennformat,1° Lago di Caldaro Run - la Mezza Maratona di Caldaro in un nuovo formato,Termeno sulla Strada del Vino,39040
F6377485056A44C395CD3EDF92CFC7A7_REDUCED,lts,2022-05-01T00:00:00,2022-05-01T00:00:00,46.812458,11.24546,1. Maibaumfest in St. Leonhard,1a Festa del cuccagna a S. Leonardo,S.Leonardo in Passiria,39015
B8775241F7E5464E9CA06DCF527C600D_REDUCED,lts,2022-05-01T00:00:00,2022-05-01T00:00:00,46.617592,10.859285,1. Maifest,Festa del 1° maggio,Laces,39021
AFC8F8AA9CEB4B61882642579FFE3751_REDUCED,lts,2022-05-01T00:00:00,2022-05-01T00:00:00,46.6284,10.901,1.Mai Konzert der Musikkapelle Kastelbell,Concerto del 1°maggio della banda musicale di Castelbello,Castelbello-Ciardes,39020
C2646A3C489F451BB1827EB8BD82930D_REDUCED,lts,2022-05-15T00:00:00,2022-05-15T00:00:00,46.7102,12.3499,1. Sexta Pressknödel Weltmeisterschaft,1° Campionato mondiale dei canderli pressati,Sesto,39030
62E17ACE05794791A03BE16D8001AE92_REDUCED,lts,2023-01-09T00:00:00,2023-01-15T00:00:00,46.5384,11.4543,2023 IIHF Ice Hockey U18 Women’s World Championship,2023 IIHF Ice Hockey U18 Women’s World Championship,Renon,39054
62F124A8359D4E8AB80ED1E0D63451AD_REDUCED,lts,2023-02-04T00:00:00,2023-02-11T00:00:00,46.5554,11.7553,20. Arthroskopie-& Diagnostik-Kurs,20° Corso di artroscopia e diagnostica,Selva,39048
E8477B56849E49F49BE6CA5A727E6686_REDUCED,lts,2016-10-26T00:00:00,2016-11-06T00:00:00,46.6687,11.5964,21. Feldthurner Keschtnigl-Wochen,21. Settimane della castagna a Velturno,Velturno,
