id,zip,city,latitude,longitude,street,country_code
3220,39019.0,Tirolo,46.692037,11.148203,via Ezra Pound 1,IT
3221,39030.0,Valdaora di Mezzo,46.7622,12.0258,"Via Mitterfeld , 18",IT
3222,39030.0,Maranza,46.814864,11.723442,Via Serges 17,IT
3223,39021.0,Laces,46.615282,10.853344,"Via Maso, 25/A",IT
3224,39010.0,Caines,46.694472,11.174077,Via Giovo 10,IT
3225,39013.0,Moso in Passiria,46.812661,11.134568,Plata - Innerhütt 96/A,IT
3226,39010.0,Rifiano,46.702829,11.18047,Via Chiesa 4,IT
3227,39040.0,Redagno,46.3486,11.4028,Redagno di Sotto 39,IT
3228,39022.0,Lagundo,46.6847,11.1092,Plars di Mezzo 22/A,IT
3229,39030.0,Valdaora - Valdaora di Mezzo,46.7614,12.0261,"Via Hermann von Gilm, 19",IT
3230,39021.0,Coldrano,46.617725,10.821544,Via Val Venosta 51,IT
3231,39040.0,Luson,46.751079,11.7689,Via Rungg 8,IT
3232,39057.0,S. Paolo | Appiano,46.4711,11.255,"Via S. Giustina, 40",IT
3233,39035.0,Monguelfo-Tesido,46.7547,12.104772,Via Stazione 7A (Monguelfo),IT
3234,39057.0,Cornaiano | Appiano,46.465853,11.276473,Via Molino 16,IT
3235,39021.0,Laces,46.61422,10.851767,Via Maso 49,IT
3236,39022.0,Lagundo,46.682649,11.117649,Via Steinach 41,IT
3237,39020.0,Martello,46.5444,10.7597,"Selva, 223",IT
3238,39022.0,Lagundo,46.681,11.1266,Via Etzenricht 2,IT
3239,39037.0,Maranza,46.8081,11.6614,Vicolo Steiner 1,IT
3240,39015.0,San Leonardo in Passiria,46.811733,11.249978,Via Schaffeld 24,IT
3241,39029.0,Solda,46.5303,10.5803,Via Forestale 44,IT
3242,39010.0,Caines,46.70436,11.1676,Via Caines 65,IT
3243,39010.0,Rifiano,46.701624,11.179349,"Via Giovo, 31",IT
3244,39019.0,Tirolo,46.6889,11.1552,"via Principale, 27",IT
3245,39057.0,Cornaiano | Appiano,46.45952,11.277541,"Via Cornaiano, 25",IT
3246,39021.0,Laces,46.6114,10.8579,Via H.v. Annaberg 2,IT
3247,39021.0,39021 Coldrano,46.618432,10.826726,Via Storta 5,IT
3248,39019.0,Tirolo,46.69163,11.15156,"via Tanz, 14",IT
3249,39021.0,Laces,46.6127,10.8488,"Via Plafatweg, 23",IT
3250,39040.0,Cortaccia,46.3139,11.2038,Hofstatt 16,IT
3251,39021.0,Laces,46.6144,10.8517,"Via Plafat, 15",IT
3252,39011.0,Lana,46.6128,11.1551,Via Goldegg 4/a,IT
3253,39055.0,Laives,46.432947,11.324222,Hirschen 3,IT
3254,39022.0,Lagundo,46.6869,11.1283,Via Mair-Im-Korn 19,IT
3255,39055.0,Leifers,46.42531,11.33478,Kennedystrasse 204,IT
3256,39040.0,Cortaccia s.S.d.V.,46.309,11.2212,A. Nikolettistr.15,IT
3257,39030.0,Sesto,46.687399,12.368104,Via San Giuseppe 43A,IT
3258,39030.0,Anterselva di Sotto,46.8428,12.0903,Via Wiesemann 3,IT
3259,39017.0,Scena,46.683672,11.204188,Via St. Georgen 53,IT
3260,39040.0,Termeno,46.341921,11.244255,Via Oswald-von-Wolkenstein 15,IT
3261,39030.0,39030 Vintl,46.841139,11.729437,Honigbergweg 2,IT
3262,39012.0,Merano,46.661004,11.168659,Via S. Maria del Conforto,IT
