id,date_start_id,date_end_id,location_id,source,shortname,title
AC83F44F670047E4989C18A02E5DC239_REDUCED,36,36,69.0,lts,2. Heli-Day und Tag der offenen Tür,2° Heli-Day e giorno di porte aperte
60C98E78C5D246279F1D93035413F058_REDUCED,20,20,70.0,lts,2. Jugendrennen - Naturbahnrodeln,2° Gara giovanile - Pista di slittino naturale
56A8C0E6DDB248C981F0552DE9922A2E_REDUCED,62,62,71.0,lts,2. Kortscher Dorfdinner,
C347E317992F4BA990500266745BF6D0_REDUCED,6,6,72.0,lts,2. Widumacker Kirchtag,Festa Widumacker
6BA3A0F6EC594BA2804E8B8835985202_REDUCED,63,63,73.0,lts,30° MARATONA DLES DOLOMITES 2016,30. MARATONA DLES DOLOMITES 2016
CD0943024B3D4FFAB0B7A79F655D7611_REDUCED,64,105,74.0,lts,32. Dolomites Snow Festival,32° Dolomites Snow Festival
094C150078AA4C39827AE964F4E1A1F8_REDUCED,65,106,58.0,lts,32. Meran WineFestival,32° Merano WineFestival
9719F2FE40A24A918CCA93B02331F744_REDUCED,66,66,75.0,lts,33. Internationaler Kalterer See Triathlon,33a edizione Triathlon internazionale Lago di Caldaro
2804BB4E391C4C1CAAC1ACBC3E9572D3_REDUCED,67,107,76.0,lts,33. Kulinarische Wochen in Jenesien,33. Settimane culinarie a San Genesio
3B74FC59B76842299F1B7C0C6501D501_REDUCED,68,68,77.0,lts,33. Ski Alpin Europacup der Herren,33esima Coppa Europa Slalom
980B5B21ECAD48949E9946172218DB64_REDUCED,69,69,78.0,lts,34. Internationaler Kalterer See Triathlon,34a edizione Triathlon internazionale Lago di Caldaro
812E1064372E4E18A3EB2036E0C94C5B_REDUCED,70,70,80.0,lts,360°-Erlebnis in den Dolomiten: Über die Mastlé-Alm zum Picberg,Esperienza a 360° gradi nelle Dolomiti: dall’Alpe Mastlé al Monte Pic
B6DEEEDBC34A4C1795C7716E1344B4A9_REDUCED,71,71,80.0,lts,360°-Erlebnis in den Dolomiten: Über die Mastlé-Alm zum Picberg,Esperienza a 360° gradi nelle Dolomiti: dall’Alpe Mastlé al Monte Pic
469ECB6B7F04430AAF6169D861E4729B_REDUCED,72,108,81.0,lts,37. Südtirol Classic Schenna 2023,37a Südtirol Classic Scena 2023
9E58BFC285DA11D7A2A6006008C7C6AD_REDUCED,73,73,82.0,lts,38. Sarner Dorflauf,38° Corsa podistica Val Sarentino
023B09FEC4E34CD58F3F9DAE128F1EC9_REDUCED,74,109,83.0,lts,3D Bogenschießen,3D Tiro con l’arco
0E603EE89EAB4AEEBC33FEE8DE26E52C_REDUCED,75,110,84.0,lts,3D Bogenschießen für Groß und Klein,3D Tiro con l'arco per adulti e bambini
63F4DF2C16CB4320A4AFE37C295AF15D_REDUCED,76,111,85.0,lts,3-Länder-Enduro-Bike-Race,Enduro-Bike-Race delle 3 Nazioni
3B4CF7CD0F25493FB9D32DF1C083AC2A_REDUCED,77,112,87.0,lts,3 Zinnen Schlagermove Parties im Grand Hotel,3 Zinnen Schlagermove Party al Grand Hotel
2806C02B6F964BFBAAEB9B7CDB3F9EA7_REDUCED,78,46,87.0,lts,3 Zinnen Schlagermove Ski&Sun Partyweek,3 Zinnen Schlagermove Party al Grand Hotel
02FCFF6E49D3478ABEB5A0B28AFE55F6_REDUCED,79,113,88.0,lts,40. Gustav Mahler Musikwochen,40° Settimane Musicali Gustav Mahler
94396A308CE74A16A77DC7E4833AE18F_REDUCED,80,80,89.0,lts,40 Jahre Jubiläumsausstellung Schafzuchtverein Passeier in St. Martin,
5C4F708C5B5740D6B2A6DB4A5D6919D3_REDUCED,81,81,57.0,lts,41. Toblacher Nachtlauf,41° Marcia Notturna
1FC5A2ECA6A14AF2B259F529D46FE41F_REDUCED,82,114,90.0,lts,41. Volkslanglauf Toblach-Cortina: 50 km Classic - SKI CLASSICS & 30 km Skating,41°Gran Fondo Dobbiaco - Cortina: 50 km Classic - SKI CLASSICS & 30 km Skating
6D2C08F628F3453C87C25FCB2625A10F_REDUCED,83,83,91.0,lts,43. Festkonzert der Musikkapelle Kortsch,43° concerto della banda musicale di Corzes
398AAACC7943414E86A866B5ABB8281A_REDUCED,84,84,92.0,lts,44. Leiferer Fasching,44° Carnevale di Laives
459596AF0A394120A05977EB2626654D_REDUCED,85,85,57.0,lts,46. Toblacher Nachtlauf,46a. Marcia Notturna
